parsed_kigo,parsed_haiku
霧,朝霧 の 中 に 九 段 の ともし 哉
枯葎,あたたか な 雨 が 降る なり 枯葎
菜の花,菜の花 や は つと 明るき 町 は づれ
秋風,秋風 や 伊予 へ 流る る 汐 の 音
長閑,長閑 さ や 障子 の 穴 に 海 見え て
若鮎,若鮎 の 二 手 に なり て 上り けり
行く 秋,行く 秋 を す つく と 鹿 の 立ち に けり
茸狩,我 声 の 風 に なり けり 茸狩
彼岸,毎年 よ 彼岸 の 入り に 寒い の は
暑し,我宿 は 女 ばかり の あつ さ 哉
門 涼み,妻 より は 妾 の 多し 門 涼み
涼む,みちのく へ 涼み に 行く や 下駄 は い て
夕立,夕立 や 殺生 石 の あたり より
稲妻,稲妻 や 生血 したたる つる し 熊
冬 籠,薪 を わるい も うと 一 人 冬 籠
夏野,絶えず 人 いこ ふ 夏野 の 石 一つ
赤蜻蛉,赤蜻蛉 筑波 に 雲 も なか り けり
古 暦,何となく 奈良 なつかし や 古 暦
春,春 や 昔 十 五 万 石 の 城下 哉
六月,六月 を 奇麗 な 風 の 吹く こと よ
夏 瘦,夏 瘦 の 骨 に とどまる 命 か な
秋,行く 我 に とどまる 汝 に 秋 二つ
柿,柿 く へ ば 鐘 が 鳴る なり 法隆寺
大晦日,漱石 が 来 て 虚子 が 来 て 大 三 十 日
枯薄,枯薄 ここら よ 昔 不破 の 関
元日,元日 の 人通り と は なり に けり
春風,春風 に こぼれ て 赤 し 歯磨 粉
春 の 夜,春 の 夜 や 屏風 の 陰 に 物 の 息
春の 川,一 桶 の 藍 流し けり 春の 川
春雨,春雨 の われ ま ぼろし に 近き 身 ぞ
夏 嵐,夏 嵐 机上 の 白紙 飛び 尽す
牡丹,美 服し て 牡丹 に 媚びる 心 あり
牡丹,しん として 牡丹 崩 るる 夜中 哉
行く 秋,行く 秋 の 鐘 つき 料 を 取り に 来る
蟷螂,蟷螂 や 二つ 向き あふ 石 の 上
梨,梨 むく や 甘き 雫 の 刃 を 垂 るる
時雨,し ぐる る や 蒟蒻 冷え て 臍 の 上
小夜 時雨,小夜 時雨 上野 を 虚子 の 来 つつ あら ん
雪,雪 降る よ 障子 の 穴 を 見 て あれ ば
雪,いく たび も 雪 の 深 さ を 尋ね けり
夏 の 夜,四 時 に 烏 五 時 に 雀 夏 の 夜 は 明け ぬ
柿,つり鐘 の 蔕 の ところ が 渋 か りき
柿,三 千 の 俳句 を 閲し 柿 二つ
月,ある 僧 の 月 を 待た ず に 帰り けり
朝顔,この 頃 の 蕣藍 に 定まり ぬ
萩,押分け て 行け は 行か るる 萩 の 原
時雨,鶏頭 の 黒き に そそぐ 時雨 か な
春雨,春雨 や 傘 さして 見る 絵 草子 屋
残雪,雪 残る 頂き 一つ 国境
林檎,林檎 く ふて 牡丹 の 前 に 死な ん 哉
春風,春風 や 阿波 へ 渡り の 旅役者
菜の花,菜の花 や 小学校 の 昼餉 時
長閑,のどか さ や つつい て 見 たる 蟹 の 穴
藤 の 花,藤 の 花 長う し て 雨 ふらん と す
薔薇,薔薇 の 香 の 紛々 として 眠ら れ ず
鶏頭,鶏頭 の 十 四 五 本 も あり ぬ べし
行く 春,行く 春 や やぶれ かぶれ の 迎 酒
五月雨,五月雨 や 上野 の 山 も 見 あき たり
野分,鶏頭 ノマダイトケナキ 野分 カナ
月,イモウトノ 帰 リ 遅 サヨ 五 日月
萩,首 あげ て 折々 見る や 庭 の 萩
蠅,活き た 目 を つつき に 来る か 蠅 の 声
糸瓜,糸瓜 咲 て 痰 の つまり し 仏 か な
糸瓜,痰 一 斗 糸瓜 の 水 も 間 に 合 はず
糸瓜,を と と ひ の へちま の 水 も 取ら ざり き
雀 の 子,雀 子 や 走り なれ たる 鬼瓦
夏山,夏山 の 大木 倒す 谺 か な
野分,我が 声 の 吹き 戻さ るる 野分 か な
初冬,初冬 の 竹 緑 なり 詩仙堂
蛍,蛍狩 われ を 小川 に 落し けり
時鳥,鳴く なら ば 満月 に なけ ほととぎす
罌粟 の 花,罌粟 の 花 さ やう に 散る は 慮外 なり
寒し,何となく 寒い と 我 は 思ふ のみ
鮟鱇,あん かう や 孕み 女 の 釣る し 斬り
吹雪,東西 南北 より 吹雪 か な
火鉢,親展 の 状 燃え 上る 火鉢 哉
蚊,叩か れ て 昼 の 蚊 を 吐く 木魚 哉
雪,降る 雪 よ 今宵 ばかり は 積 れ かし 　
畠 打,忘れ しか 知らぬ顔 し て 畠 打つ 　
行く 春,行 春 を 琴 掻き鳴らし 掻き乱す 　
月夜,うかうか と 我 門 過る 月夜 か な
永き 日,永き 日 や 欠伸 うつし て 別れ 行く
枯野,枯 野原 汽車 に 化け たる 狸 あり
凩,凩 や 海 に 夕日 を 吹き 落す
冴え返る,人 に 死し 鶴 に 生れ て 冴え返る
蚊,寒 山 か 拾得 か 蚊 に 螫 さ れ し は
白魚,ふるひ 寄せ て 白魚 崩れ ん ばかり なり
椿,落ち さま に を 伏せ たる 椿 哉
木瓜,木瓜 咲く や 漱石 拙 を 守る べく
薫,菫 程 な 小さき 人 に 生れ た し
桔梗,仏性 は 白き 桔梗 に こそ あら め
月,月 に 行く 漱石 妻 を 忘れ たり
案山子,某 は 案山子 にて 候 雀 どの
田螺,ぶつぶつ と 大いなる 田螺 の 不平 か な
行く年,行く年 や 猫 う づく まる 膝 の 上
秋 の 空,草山 に 馬 放ち けり 秋 の 空
秋の川,秋の川 真白 な 石 を 拾 ひけ り
鵙,剥製 の 鵙 鳴か なく に 昼 淋し
雛,或 夜 雛 娶り けり 白い 酒
霧,霧 黄 なる 市 に 動く や 影法師
涼し,無人島 の 天子 と なら ば 涼しかろ
涼し,能 も なき 教師 と なら ん あら 涼し
畑 打,物 いは ぬ 人 と 生れ て 打つ 畠 か
春 の 水,春 の 水 岩 を 抱い て 流れ けり
枯野,わが 影 の 吹か れ て 長き 枯野 か な
天の川,別 るる や 夢 一筋 の 天の川
