yomi,kigo_yomi
アサギリノナカニキュウダンノトモシカナ,キリ
アタタカナアメガフルナリカレムグラ,カレムグラ
ナノハナヤハツトアカルキマチハヅレ,ナノハナ
アキカゼヤイヨヘナガレルルシオノオト,アキカゼ
ノドカサヤショウジノアナニウミミエテ,ノドカ
ワカアユノニテニナリテノボリケリ,ワカアユ
イクアキヲスツクトシカノタチニケリ,イクアキ
ワガゴエノカゼニナリケリタケガリ,タケガリ
マイトシヨヒガンノイリニサムイノハ,ヒガン
ワガヤドハオンナバカリノアツサカナ,アツシ
ツマヨリハソバメノオオシモンスズミ,モンスズミ
ミチノクヘスズミニイクヤゲタハイテ,スズム
ユウダチヤセッショウセキノアタリヨリ,ユウダチ
イナヅマヤナマチシタタルツルシクマ,イナヅマ
タキギヲワルイモウトイチニンフユカゴ,フユカゴ
タエズヒトイコフナツノノイシヒトツ,ナツノ
アカトンボツクバニクモモナカリケリ,アカトンボ
ナントナクナラナツカシヤココヨミ,ココヨミ
ハルヤムカシジュウゴマンセキノジョウカカナ,ハル
ロクガツヲキレイナカゼノフクコトヨ,ロクガツ
ナツヤセノホネニトドマルイノチカナ,ナツヤセ
イクワガニトドマルナンジニアキフタツ,アキ
カキクヘバカネガナルナリホウリュウジ,カキ
ソウセキガキテキョシガキテダイサンジュウニチ,オオミソカ
カレススキココラヨムカシフワノセキ,カレススキ
ガンジツノヒトドオリトハナリニケリ,ガンジツ
シュンプウニコボレテアカシハミガキコ,シュンプウ
ハルノヨルヤビョウブノカゲニモノノイキ,ハルノヨル
イチオケノアイナガシケリハルノガワ,ハルノガワ
ハルサメノワレマボロシニチカキミゾ,ハルサメ
ナツアラシキジョウノハクシトビツクス,ナツアラシ
ビフクシテボタンニコビルココロアリ,ボタン
シントシテボタンクズレルルヤチュウカナ,ボタン
イクアキノカネツキリョウヲトリニクル,イクアキ
カマキリヤフタツムキアフイシノウエ,カマキリ
ナシムクヤアマキシズクノハヲシデルル,ナシ
シグルルヤコンニャクヒエテホゾノウエ,シグレ
サヨシグレウエノヲキョシノキツツアラン,サヨシグレ
ユキフルヨショウジノアナヲミテアレバ,ユキ
イクタビモユキノフカサヲタズネケリ,ユキ
ヨンジニカラスゴジニスズメナツノヨルハアケヌ,ナツノヨル
ツリガネノヘタノトコロガシブカリキ,カキ
サンセンノハイクヲケミシカキフタツ,カキ
アルソウノツキヲマタズニカエリケリ,ツキ
オシワケテイケハイカルルハギノハラ,ハギ
ケイトウノクロキニソソグシグレカナ,シグレ
ハルサメヤカササシテミルエソウシヤ,ハルサメ
ユキノコルイタダキヒトツコッキョウ,ザンセツ
リンゴクフテボタンノマエニシナンカナ,リンゴ
