,cd-num,haiku,writer,kigo,season
0,1,朝霧の中に九段のともし哉,正岡子規,霧,秋
1,2,あたたかな雨が降るなり枯葎,正岡子規,枯葎,冬
2,3,菜の花やはつと明るき町はづれ,正岡子規,菜の花,春
3,4,秋風や伊予へ流るる汐の音,正岡子規,秋風,秋
4,5,長閑さや障子の穴に海見えて,正岡子規,長閑,春
5,6,若鮎の二手になりて上りけり,正岡子規,若鮎,春
6,7,行く秋をすつくと鹿の立ちにけり,正岡子規,行く秋,秋
7,8,我声の風になりけり茸狩,正岡子規,茸狩,秋
8,9,毎年よ彼岸の入りに寒いのは,正岡子規,彼岸,春
9,10,我宿は女ばかりのあつさ哉,正岡子規,暑し,夏
10,11,妻よりは妾の多し門涼み,正岡子規,門涼み,夏
11,12,みちのくへ涼みに行くや下駄はいて,正岡子規,涼む,夏
12,13,夕立や殺生石のあたりより,正岡子規,夕立,夏
13,14,稲妻や生血したたるつるし熊,正岡子規,稲妻,秋
14,15,薪をわるいもうと一人冬籠,正岡子規,冬籠,冬
15,16,絶えず人いこふ夏野の石一つ,正岡子規,夏野,夏
16,17,赤蜻蛉筑波に雲もなかりけり,正岡子規,赤蜻蛉,秋
17,18,何となく奈良なつかしや古暦,正岡子規,古暦,冬
18,19,春や昔十五万石の城下哉,正岡子規,春,春
19,20,六月を奇麗な風の吹くことよ,正岡子規,六月,夏
20,21,夏瘦の骨にとどまる命かな,正岡子規,夏瘦,夏
21,22,行く我にとどまる汝に秋二つ,正岡子規,秋,秋
22,23,柿くへば鐘が鳴るなり法隆寺,正岡子規,柿,秋
23,24,漱石が来て虚子が来て大三十日,正岡子規,大晦日,冬
24,25,枯薄ここらよ昔不破の関,正岡子規,枯薄,冬
25,26,元日の人通りとはなりにけり,正岡子規,元日,新年
26,27,春風にこぼれて赤し歯磨粉,正岡子規,春風,春
27,28,春の夜や屏風の陰に物の息,正岡子規,春の夜,春
28,29,一桶の藍流しけり春の川,正岡子規,春の川,春
29,30,春雨のわれまぼろしに近き身ぞ,正岡子規,春雨,春
30,31,夏嵐机上の白紙飛び尽す,正岡子規,夏嵐,夏
31,32,美服して牡丹に媚びる心あり,正岡子規,牡丹,夏
32,33,しんとして牡丹崩るる夜中哉,正岡子規,牡丹,夏
33,34,行く秋の鐘つき料を取りに来る,正岡子規,行く秋,秋
34,36,蟷螂や二つ向きあふ石の上,正岡子規,蟷螂,秋
35,37,梨むくや甘き雫の刃を垂るる,正岡子規,梨,秋
36,38,しぐるるや蒟蒻冷えて臍の上,正岡子規,時雨,冬
37,39,小夜時雨上野を虚子の来つつあらん,正岡子規,小夜時雨,冬
38,40,雪降るよ障子の穴を見てあれば,正岡子規,雪,冬
39,41,いくたびも雪の深さを尋ねけり,正岡子規,雪,冬
40,42,四時に烏五時に雀夏の夜は明けぬ,正岡子規,夏の夜,夏
41,43,つり鐘の蔕のところが渋かりき,正岡子規,柿,秋
42,44,三千の俳句を閲し柿二つ,正岡子規,柿,秋
43,45,ある僧の月を待たずに帰りけり,正岡子規,月,秋
44,46,この頃の蕣藍に定まりぬ,正岡子規,朝顔,秋
45,47,押分けて行けは行かるる萩の原,正岡子規,萩,秋
46,48,鶏頭の黒きにそそぐ時雨かな,正岡子規,時雨,冬
47,49,春雨や傘さして見る絵草子屋,正岡子規,春雨,春
48,50,雪残る頂き一つ国境,正岡子規,残雪,春
49,51,林檎くふて牡丹の前に死なん哉,正岡子規,林檎,秋
50,52,春風や阿波へ渡りの旅役者,正岡子規,春風,春
51,53,菜の花や小学校の昼餉時,正岡子規,菜の花,春
52,54,のどかさやつついて見たる蟹の穴,正岡子規,長閑,春
53,55,藤の花長うして雨ふらんとす,正岡子規,藤の花,春
54,56,薔薇の香の紛々として眠られず,正岡子規,薔薇,夏
55,57,鶏頭の十四五本もありぬべし,正岡子規,鶏頭,秋
56,58,行く春ややぶれかぶれの迎酒,正岡子規,行く春,春
57,59,五月雨や上野の山も見あきたり,正岡子規,五月雨,夏
58,60,鶏頭ノマダイトケナキ野分カナ,正岡子規,野分,秋
59,61,イモウトノ帰リ遅サヨ五日月,正岡子規,月,秋
60,62,首あげて折々見るや庭の萩,正岡子規,萩,秋
61,63,活きた目をつつきに来るか蠅の声,正岡子規,蠅,夏
62,64,糸瓜咲て痰のつまりし仏かな,正岡子規,糸瓜,秋
63,65,痰一斗糸瓜の水も間に合はず,正岡子規,糸瓜,秋
64,66,をととひのへちまの水も取らざりき,正岡子規,糸瓜,秋
65,67,雀子や走りなれたる鬼瓦,内藤鳴雪,雀の子,春
66,68,夏山の大木倒す谺かな,内藤鳴雪,夏山,夏
67,69,我が声の吹き戻さるる野分かな,内藤鳴雪,野分,秋
68,70,初冬の竹緑なり詩仙堂,内藤鳴雪,初冬,冬
69,71,蛍狩われを小川に落しけり,夏目漱石,蛍,夏
70,72,鳴くならば満月になけほととぎす,夏目漱石,時鳥,夏
71,73,罌粟の花さやうに散るは慮外なり,夏目漱石,罌粟の花,夏
72,74,何となく寒いと我は思ふのみ,夏目漱石,寒し,冬
73,75,あんかうや孕み女の釣るし斬り,夏目漱石,鮟鱇,冬
74,76,東西南北より吹雪かな,夏目漱石,吹雪,冬
75,77,親展の状燃え上る火鉢哉,夏目漱石,火鉢,冬
76,78,叩かれて昼の蚊を吐く木魚哉,夏目漱石,蚊,夏
77,79,降る雪よ今宵ばかりは積れかし　,夏目漱石,雪,冬
78,80,忘れしか知らぬ顔して畠打つ　,夏目漱石,畠打,春
79,81,行春を琴掻き鳴らし掻き乱す　,夏目漱石,行く春,春
80,82,うかうかと我門過る月夜かな,夏目漱石,月夜,秋
81,83,永き日や欠伸うつして別れ行く,夏目漱石,永き日,春
82,84,枯野原汽車に化けたる狸あり,夏目漱石,枯野,冬
83,85,凩や海に夕日を吹き落す,夏目漱石,凩,冬
84,86,人に死し鶴に生れて冴え返る,夏目漱石,冴え返る,春
85,87,寒山か拾得か蚊に螫されしは,夏目漱石,蚊,夏
86,88,ふるひ寄せて白魚崩れんばかりなり,夏目漱石,白魚,春
87,89,落ちさまにを伏せたる椿哉,夏目漱石,椿,春
88,90,木瓜咲くや漱石拙を守るべく,夏目漱石,木瓜,春
