,cd-num,haiku,writer,kigo,season
0,0,,,,
1,1,朝霧の中に九段のともし哉,正岡子規,霧,秋
2,2,あたたかな雨が降るなり枯葎,正岡子規,枯葎,冬
3,3,菜の花やはつと明るき町はづれ,正岡子規,菜の花,春
4,4,秋風や伊予へ流るる汐の音,正岡子規,秋風,秋
5,5,長閑さや障子の穴に海見えて,正岡子規,長閑,春
6,6,若鮎の二手になりて上りけり,正岡子規,若鮎,春
7,7,行く秋をすつくと鹿の立ちにけり,正岡子規,行く秋,秋
8,8,我声の風になりけり茸狩,正岡子規,茸狩,秋
9,9,毎年よ彼岸の入りに寒いのは,正岡子規,彼岸,春
10,10,我宿は女ばかりのあつさ哉,正岡子規,暑し,夏
11,11,妻よりは妾の多し門涼み,正岡子規,門涼み,夏
12,12,みちのくへ涼みに行くや下駄はいて,正岡子規,涼む,夏
13,13,夕立や殺生石のあたりより,正岡子規,夕立,夏
14,14,稲妻や生血したたるつるし熊,正岡子規,稲妻,秋
15,15,薪をわるいもうと一人冬籠,正岡子規,冬籠,冬
16,16,絶えず人いこふ夏野の石一つ,正岡子規,夏野,夏
17,17,赤蜻蛉筑波に雲もなかりけり,正岡子規,赤蜻蛉,秋
18,18,何となく奈良なつかしや古暦,正岡子規,古暦,冬
19,19,春や昔十五万石の城下哉,正岡子規,春,春
20,20,六月を奇麗な風の吹くことよ,正岡子規,六月,夏
21,21,夏瘦の骨にとどまる命かな,正岡子規,夏瘦,夏
22,22,行く我にとどまる汝に秋二つ,正岡子規,秋,秋
23,23,柿くへば鐘が鳴るなり法隆寺,正岡子規,柿,秋
24,24,漱石が来て虚子が来て大三十日（おほみそか）,正岡子規,大晦日,冬
25,25,枯薄ここらよ昔不破の関,正岡子規,枯薄,冬
26,26,元日の人通りとはなりにけり,正岡子規,元日,新年
27,27,春風にこぼれて赤し歯磨粉,正岡子規,春風,春
28,28,春の夜や屏風の陰に物の息,正岡子規,春の夜,春
29,29,一桶の藍流しけり春の川,正岡子規,春の川,春
30,30,春雨のわれまぼろしに近き身ぞ,正岡子規,春雨,春
31,31,夏嵐机上の白紙飛び尽す,正岡子規,夏嵐,夏
